municipio;idh
Nova Araçá;0.785
Nova Bassano;0.747
Nova Boa Vista;0.768
Nova Bréscia;0.778
Nova Candelária;0.759
Nova Esperança do Sul;0.735
Nova Hartz;0.689
Nova Pádua;0.761
Nova Palma;0.744
Nova Petrópolis;0.78
Nova Prata;0.766
Nova Ramada;0.742
Nova Roma do Sul;0.741
Nova Santa Rita;0.718
Novo Barreiro;0.706
Novo Cabrais;0.688
Novo Hamburgo;0.747
Novo Machado;0.663
Novo Tiradentes;0.676
Novo Xingu;0.767
Osório;0.751
Paim Filho;0.706
Palmares do Sul;0.715
Palmeira das Missões;0.737
Palmitinho;0.72
Panambi;0.761
Pantano Grande;0.661
Paraí;0.773
Paraíso do Sul;0.676
Pareci Novo;0.749
Parobé;0.704
Passa Sete;0.622
Passo do Sobrado;0.698
Passo Fundo;0.776
Paulo Bento;0.71
Paverama;0.683
Pedras Altas;0.64
Pedro Osório;0.678
Pejuçara;0.741
Pelotas;0.739
Picada Café;0.758
Pinhal;0.72
Pinhal da Serra;0.65
Pinhal Grande;0.678
Pinheirinho do Vale;0.71
Pinheiro Machado;0.661
Pinto Bandeira;-
Pirapó;0.669
Piratini;0.658
Planalto;0.687
Poço das Antas;0.744
Pontão;0.725
Ponte Preta;0.725
Portão;0.713
Porto Alegre;0.805
Porto Lucena;0.693
Porto Mauá;0.698
Porto Vera Cruz;0.69
Porto Xavier;0.723
Pouso Novo;0.715
Presidente Lucena;0.757
Progresso;0.683
Protásio Alves;0.733
Putinga;0.715
Quaraí;0.704
Quatro Irmãos;0.689
Quevedos;0.665
Quinze de Novembro;0.756
Redentora;0.631
Relvado;0.731
Restinga Seca;0.683
Rio dos Índios;0.656
Rio Grande;0.744
Rio Pardo;0.693
Riozinho;0.661
Roca Sales;0.729
Rodeio Bonito;0.732
Rolador;0.689
Rolante;0.688
Ronda Alta;0.724
Rondinha;0.764
Roque Gonzales;0.688
Rosário do Sul;0.699
Sagrada Família;0.678
Saldanha Marinho;0.762
Salto do Jacuí;0.687
Salvador das Missões;0.753
Salvador do Sul;0.74
Sananduva;0.747
Santa Bárbara do Sul;0.725
Santa Cecília do Sul;0.725
Santa Clara do Sul;0.74
Santa Cruz do Sul;0.773
Santa Margarida do Sul;0.663
Santa Maria;0.784
Santa Maria do Herval;0.676
Santa Rosa;0.769
Santa Tereza;0.746
Santa Vitória do Palmar;0.712
Santana da Boa Vista;0.633
Santana do Livramento;0.727
Santiago;0.766
Santo Ângelo;0.772
Santo Antônio da Patrulha;0.717
Santo Antônio das Missões;0.686
Santo Antônio do Palma;0.764
Santo Antônio do Planalto;0.759
Santo Augusto;0.739
Santo Cristo;0.738
Santo Expedito do Sul;0.732
São Borja;0.736
São Domingos do Sul;0.763
São Francisco de Assis;0.675
São Francisco de Paula;0.685
São Gabriel;0.699
São Jerônimo;0.696
São João da Urtiga;0.694
São João do Polêsine;0.748
São Jorge;0.732
São José das Missões;0.651
São José do Herval;0.717
São José do Hortêncio;0.707
São José do Inhacorá;0.747
São José do Norte;0.623
São José do Ouro;0.755
São José do Sul;0.725
São José dos Ausentes;0.663
São Leopoldo;0.739
São Lourenço do Sul;0.687
São Luiz Gonzaga;0.741
São Marcos;0.768
São Martinho;0.726
São Martinho da Serra;0.652
São Miguel das Missões;0.667
São Nicolau;0.645
São Paulo das Missões;0.692
São Pedro da Serra;0.739
São Pedro das Missões;0.664
São Pedro do Butiá;0.763
São Pedro do Sul;0.709
São Sebastião do Caí;0.739
São Sepé;0.708
São Valentim;0.72
São Valentim do Sul;0.764
São Valério do Sul;0.642
São Vendelino;0.754
São Vicente do Sul;0.685
Sapiranga;0.711
Sapucaia do Sul;0.726
Sarandi;0.777
Seberi;0.723
Sede Nova;0.712
Segredo;0.659
Selbach;0.777
Senador Salgado Filho;0.693
Sentinela do Sul;0.671
Serafina Corrêa;0.76
Sério;0.652
Sertão;0.751
Sertão Santana;0.689
Sete de Setembro;0.683
Severiano de Almeida;0.752
Silveira Martins;0.742
Sinimbu;0.631
Sobradinho;0.743
Soledade;0.731
Tabaí;0.701
Tapejara;0.76
Tapera;0.747
Tapes;0.695
Taquara;0.727
Taquari;0.733
Taquaruçu do Sul;0.739
Tavares;0.656
Tenente Portela;0.708
Terra de Areia;0.689
Teutônia;0.747
Tio Hugo;0.742
Tiradentes do Sul;0.689
Toropi;0.683
Torres;0.762
Tramandaí;0.719
Travesseiro;0.701
Três Arroios;0.791
Três Cachoeiras;0.718
Três Coroas;0.71
Três de Maio;0.759
Três Forquilhas;0.662
Três Palmeiras;0.703
Três Passos;0.768
Trindade do Sul;0.687
Triunfo;0.733
Tucunduva;0.747
Tunas;0.657
Tupanci do Sul;0.694
Tupanciretã;0.709
Tupandi;0.718
Tuparendi;0.728
Turuçu;0.629
Ubiretama;0.7
União da Serra;0.733
Unistalda;0.649
Uruguaiana;0.744
Vacaria;0.721
Vale do Sol;0.624
Vale Real;0.737
Vale Verde;0.646
Vanini;0.757
Venâncio Aires;0.712
Vera Cruz;0.737
Veranópolis;0.773
Vespasiano Correa;0.723
Viadutos;0.702
Viamão;0.717
Vicente Dutra;0.638
Victor Graeff;0.777
Vila Flores;0.742
Vila Lângaro;0.705
Vila Maria;0.761
Vila Nova do Sul;0.662
Vista Alegre;0.739
Vista Alegre do Prata;0.78
Vista Gaúcha;0.757
Vitória das Missões;0.655
Westfalia;0.752
Xangri-lá;0.735
